n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,6.0486e-07,6.0486e-07,3.4921e-07,3.4921e-07,4.24302e-08,4.24302e-08
6,5.65853e-07,5.65853e-07,4.63593e-07,4.63593e-07,3.61333e-07,3.61333e-07
7,1.34291e-06,1.34291e-06,9.35886e-07,9.35886e-07,8.33626e-07,8.33626e-07
8,1.96253e-06,1.96253e-06,1.05027e-06,1.05027e-06,9.99139e-07,9.99138e-07
9,2.38167e-06,2.38167e-06,1.67393e-06,1.67393e-06,1.26691e-06,1.26691e-06
10,2.49807e-06,2.49807e-06,2.08903e-06,2.08903e-06,1.38129e-06,1.38129e-06
11,2.71674e-06,2.71673e-06,2.7127e-06,2.71269e-06,2.40996e-06,2.40995e-06
12,2.67672e-06,2.67672e-06,3.27816e-06,3.27816e-06,2.6747e-06,2.6747e-06
13,3.24622e-06,3.24622e-06,3.65122e-06,3.65122e-06,3.59908e-06,3.59908e-06
14,3.56513e-06,3.56512e-06,3.10799e-06,3.10798e-06,3.86383e-06,3.86382e-06
15,3.67951e-06,3.6795e-06,3.52915e-06,3.52914e-06,4.43333e-06,4.43332e-06
16,3.69365e-06,3.69365e-06,2.62901e-06,2.62901e-06,3.64757e-06,3.64757e-06
17,4.15787e-06,4.15786e-06,3.90424e-06,3.90423e-06,4.21708e-06,4.21707e-06
18,4.47879e-06,4.47878e-06,3.81814e-06,3.81813e-06,4.42867e-06,4.42866e-06
19,4.33348e-06,4.33347e-06,4.33752e-06,4.33751e-06,4.19221e-06,4.1922e-06
20,4.30255e-06,4.30254e-06,4.25546e-06,4.25545e-06,4.04993e-06,4.04993e-06
21,4.81386e-06,4.81385e-06,4.87105e-06,4.87103e-06,4.3167e-06,4.31669e-06
22,4.63156e-06,4.63155e-06,5.29019e-06,5.29018e-06,4.93531e-06,4.9353e-06
23,5.29625e-06,5.29624e-06,5.75642e-06,5.75641e-06,5.00159e-06,5.00158e-06
24,5.01675e-06,5.01673e-06,6.28187e-06,6.28185e-06,5.07192e-06,5.0719e-06
25,6.53752e-06,6.5375e-06,6.24084e-06,6.24082e-06,5.53714e-06,5.53712e-06
26,7.16118e-06,7.16116e-06,5.84998e-06,5.84996e-06,6.30611e-06,6.30609e-06
27,8.687e-06,8.68697e-06,6.36936e-06,6.36934e-06,6.87662e-06,6.8766e-06
28,7.19957e-06,7.19954e-06,5.32392e-06,5.3239e-06,6.49183e-06,6.49181e-06
29,8.06171e-06,8.06168e-06,7.30587e-06,7.30584e-06,7.36104e-06,7.36101e-06
30,7.82121e-06,7.82118e-06,6.81679e-06,6.81677e-06,8.38364e-06,8.38361e-06
31,9.35108e-06,9.35103e-06,7.18279e-06,7.18276e-06,8.2545e-06,8.25446e-06
32,8.0621e-06,8.06207e-06,6.44614e-06,6.44612e-06,7.4065e-06,7.40647e-06
33,9.0746e-06,9.07456e-06,9.1328e-06,9.13276e-06,8.83612e-06,8.83608e-06
34,9.38542e-06,9.38538e-06,9.40158e-06,9.40154e-06,8.69182e-06,8.69179e-06
35,1.0365e-05,1.03649e-05,1.01675e-05,1.01675e-05,9.10895e-06,9.10891e-06
36,9.67744e-06,9.67739e-06,9.78071e-06,9.78066e-06,8.36321e-06,8.36318e-06
37,1.07962e-05,1.07962e-05,1.07081e-05,1.07081e-05,9.04103e-06,9.04099e-06
38,9.54628e-06,9.54623e-06,1.02702e-05,1.02701e-05,9.60448e-06,9.60443e-06
39,1.08245e-05,1.08245e-05,1.12877e-05,1.12877e-05,9.96946e-06,9.96941e-06
40,1.00899e-05,1.00899e-05,8.37572e-06,8.37569e-06,9.4343e-06,9.43426e-06
41,1.22602e-05,1.22601e-05,1.13601e-05,1.136e-05,1.03567e-05,1.03566e-05
42,1.22192e-05,1.22191e-05,1.11808e-05,1.11807e-05,1.11747e-05,1.11747e-05
43,1.4513e-05,1.45129e-05,1.21923e-05,1.21922e-05,1.15939e-05,1.15938e-05
44,1.28271e-05,1.2827e-05,1.06537e-05,1.06537e-05,1.17093e-05,1.17092e-05
45,1.42446e-05,1.42445e-05,1.23269e-05,1.23268e-05,1.23319e-05,1.23319e-05
46,1.3596e-05,1.3596e-05,1.19421e-05,1.1942e-05,1.16464e-05,1.16464e-05
47,1.5941e-05,1.59408e-05,1.32573e-05,1.32572e-05,1.23162e-05,1.23161e-05
48,1.29398e-05,1.29397e-05,1.16276e-05,1.16275e-05,1.05189e-05,1.05189e-05
49,1.61085e-05,1.61084e-05,1.41548e-05,1.41547e-05,1.2996e-05,1.29959e-05
50,1.52154e-05,1.52153e-05,1.28578e-05,1.28577e-05,1.33559e-05,1.33559e-05
51,1.7446e-05,1.74458e-05,1.40748e-05,1.40747e-05,1.42252e-05,1.42251e-05
52,1.49561e-05,1.4956e-05,1.19267e-05,1.19266e-05,1.26836e-05,1.26835e-05
53,1.68708e-05,1.68706e-05,1.50153e-05,1.50152e-05,1.54624e-05,1.54623e-05
54,1.58314e-05,1.58313e-05,1.37664e-05,1.37663e-05,1.40722e-05,1.40721e-05
55,1.66475e-05,1.66473e-05,1.54426e-05,1.54424e-05,1.56972e-05,1.56971e-05
56,1.48593e-05,1.48592e-05,1.29507e-05,1.29506e-05,1.3504e-05,1.3504e-05
57,1.7582e-05,1.75818e-05,1.64854e-05,1.64852e-05,1.61826e-05,1.61825e-05
58,1.58839e-05,1.58838e-05,1.56465e-05,1.56463e-05,1.61006e-05,1.61004e-05
59,1.79069e-05,1.79068e-05,1.84744e-05,1.84742e-05,1.71723e-05,1.71721e-05
60,1.64807e-05,1.64806e-05,1.72436e-05,1.72435e-05,1.59284e-05,1.59283e-05
61,2.03131e-05,2.03129e-05,1.821e-05,1.82099e-05,1.75605e-05,1.75603e-05
62,1.96185e-05,1.96183e-05,1.66183e-05,1.66182e-05,1.67135e-05,1.67134e-05
63,2.13347e-05,2.13344e-05,1.8539e-05,1.85389e-05,1.73352e-05,1.7335e-05
64,1.8014e-05,1.80138e-05,1.4732e-05,1.47318e-05,1.42768e-05,1.42767e-05
65,2.17411e-05,2.17408e-05,1.95637e-05,1.95635e-05,1.80631e-05,1.80629e-05
66,1.99808e-05,1.99806e-05,1.87749e-05,1.87747e-05,1.73634e-05,1.73633e-05
67,2.29029e-05,2.29026e-05,2.01012e-05,2.0101e-05,1.81947e-05,1.81945e-05
68,2.1579e-05,2.15787e-05,1.81166e-05,1.81165e-05,1.59894e-05,1.59893e-05
69,2.41573e-05,2.4157e-05,2.033e-05,2.03298e-05,1.9481e-05,1.94808e-05
70,2.1949e-05,2.19488e-05,1.94951e-05,1.94949e-05,1.85307e-05,1.85306e-05
