n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
71,2.40181e-05,2.40178e-05,2.28243e-05,2.2824e-05,2.11222e-05,2.1122e-05
72,2.15434e-05,2.15431e-05,1.89291e-05,1.89289e-05,1.79135e-05,1.79134e-05
73,2.49677e-05,2.49674e-05,2.26581e-05,2.26579e-05,2.24116e-05,2.24113e-05
74,2.19625e-05,2.19623e-05,2.0465e-05,2.04648e-05,2.14613e-05,2.14611e-05
75,2.54891e-05,2.54888e-05,2.249e-05,2.24897e-05,2.34483e-05,2.3448e-05
76,2.20419e-05,2.20417e-05,1.86328e-05,1.86326e-05,1.87401e-05,1.87399e-05
77,2.76366e-05,2.76362e-05,2.29192e-05,2.2919e-05,2.31349e-05,2.31346e-05
78,2.51346e-05,2.51343e-05,2.09736e-05,2.09734e-05,2.22287e-05,2.22284e-05
79,2.7714e-05,2.77136e-05,2.36532e-05,2.3653e-05,2.33095e-05,2.33092e-05
80,2.28816e-05,2.28814e-05,1.86984e-05,1.86983e-05,1.81861e-05,1.8186e-05
81,3.10774e-05,3.1077e-05,2.58989e-05,2.58986e-05,2.39863e-05,2.3986e-05
82,2.80322e-05,2.80319e-05,2.50671e-05,2.50668e-05,2.22351e-05,2.22349e-05
83,2.9993e-05,2.99925e-05,2.668e-05,2.66797e-05,2.46231e-05,2.46228e-05
84,2.82079e-05,2.82075e-05,2.46873e-05,2.4687e-05,2.00632e-05,2.0063e-05
85,3.17324e-05,3.17319e-05,2.73178e-05,2.73175e-05,2.54583e-05,2.5458e-05
86,2.92345e-05,2.92341e-05,2.55246e-05,2.55243e-05,2.45071e-05,2.45068e-05
87,3.14519e-05,3.14514e-05,2.78473e-05,2.78469e-05,2.60941e-05,2.60938e-05
88,2.58096e-05,2.58092e-05,2.22339e-05,2.22336e-05,2.23412e-05,2.23409e-05
89,3.15004e-05,3.14999e-05,2.78245e-05,2.78241e-05,2.66858e-05,2.66855e-05
90,2.91569e-05,2.91565e-05,2.7551e-05,2.75506e-05,2.53306e-05,2.53303e-05
91,3.12118e-05,3.12113e-05,2.89113e-05,2.89109e-05,2.65668e-05,2.65664e-05
92,2.61076e-05,2.61073e-05,2.51153e-05,2.5115e-05,2.41109e-05,2.41106e-05
93,3.47616e-05,3.4761e-05,2.89396e-05,2.89392e-05,2.90029e-05,2.90024e-05
94,3.18738e-05,3.18733e-05,2.67454e-05,2.67451e-05,2.58884e-05,2.5888e-05
95,3.08745e-05,3.0874e-05,3.05226e-05,3.05222e-05,2.80237e-05,2.80233e-05
96,2.58275e-05,2.58272e-05,2.4737e-05,2.47367e-05,2.27611e-05,2.27608e-05
97,3.78325e-05,3.78317e-05,3.11275e-05,3.1127e-05,2.88048e-05,2.88044e-05
98,3.59532e-05,3.59525e-05,2.91288e-05,2.91283e-05,2.72592e-05,2.72588e-05
99,3.82166e-05,3.82159e-05,3.09893e-05,3.09888e-05,2.90887e-05,2.90883e-05
100,3.51795e-05,3.51789e-05,2.56806e-05,2.56802e-05,2.48888e-05,2.48884e-05
101,4.09655e-05,4.09647e-05,3.19799e-05,3.19794e-05,3.20761e-05,3.20756e-05
102,3.78201e-05,3.78194e-05,2.92785e-05,2.92781e-05,2.97878e-05,2.97873e-05
103,3.88276e-05,3.88268e-05,3.30627e-05,3.30622e-05,3.15632e-05,3.15627e-05
104,3.17247e-05,3.17242e-05,2.78664e-05,2.7866e-05,2.84258e-05,2.84254e-05
105,4.0973e-05,4.09722e-05,3.44574e-05,3.44568e-05,3.24455e-05,3.2445e-05
106,3.91727e-05,3.9172e-05,3.16097e-05,3.16092e-05,3.13621e-05,3.13616e-05
107,4.01001e-05,4.00993e-05,3.51874e-05,3.51867e-05,3.3338e-05,3.33374e-05
108,3.61057e-05,3.6105e-05,3.24981e-05,3.24975e-05,3.01424e-05,3.0142e-05
109,4.12852e-05,4.12844e-05,3.61259e-05,3.61252e-05,3.52207e-05,3.52201e-05
110,4.00904e-05,4.00896e-05,3.39829e-05,3.39823e-05,3.2419e-05,3.24185e-05
111,4.00164e-05,4.00156e-05,3.6504e-05,3.65033e-05,3.47939e-05,3.47933e-05
112,3.28543e-05,3.28538e-05,2.89981e-05,2.89977e-05,2.88427e-05,2.88423e-05
113,4.42528e-05,4.42518e-05,3.74365e-05,3.74358e-05,3.36162e-05,3.36157e-05
114,4.29086e-05,4.29077e-05,3.53456e-05,3.5345e-05,3.429e-05,3.42894e-05
115,4.65577e-05,4.65566e-05,3.82667e-05,3.82659e-05,3.51633e-05,3.51627e-05
116,3.97495e-05,3.97487e-05,3.2519e-05,3.25185e-05,3.22214e-05,3.22208e-05
117,4.50783e-05,4.50773e-05,3.79942e-05,3.79935e-05,3.7447e-05,3.74463e-05
118,4.48459e-05,4.48449e-05,3.60638e-05,3.60632e-05,3.67144e-05,3.67137e-05
119,4.87846e-05,4.87834e-05,4.25535e-05,4.25526e-05,4.00516e-05,4.00508e-05
120,3.70064e-05,3.70057e-05,3.38959e-05,3.38953e-05,3.3907e-05,3.39064e-05
121,4.8059e-05,4.80579e-05,3.95225e-05,3.95217e-05,3.6814e-05,3.68133e-05
122,4.47531e-05,4.47521e-05,3.52663e-05,3.52657e-05,3.56764e-05,3.56757e-05
123,4.82888e-05,4.82876e-05,3.94505e-05,3.94497e-05,3.63091e-05,3.63085e-05
124,4.01304e-05,4.01296e-05,3.43965e-05,3.43959e-05,3.44496e-05,3.4449e-05
125,4.80144e-05,4.80132e-05,4.19468e-05,4.19459e-05,3.84784e-05,3.84777e-05
126,4.50704e-05,4.50694e-05,3.79443e-05,3.79436e-05,3.4929e-05,3.49284e-05
127,4.67866e-05,4.67855e-05,4.09767e-05,4.09759e-05,3.79685e-05,3.79678e-05
128,3.91926e-05,3.91919e-05,3.21025e-05,3.2102e-05,3.21065e-05,3.2106e-05
129,5.14882e-05,5.14869e-05,4.38097e-05,4.38088e-05,3.80358e-05,3.80351e-05
130,4.68751e-05,4.6874e-05,4.25248e-05,4.25239e-05,3.74516e-05,3.74509e-05
131,5.24116e-05,5.24102e-05,4.59942e-05,4.59931e-05,3.95398e-05,3.9539e-05
132,4.5415e-05,4.54139e-05,4.05994e-05,4.05986e-05,3.5431e-05,3.54304e-05
133,5.2049e-05,5.20476e-05,4.67353e-05,4.67342e-05,4.17693e-05,4.17685e-05
134,5.116e-05,5.11586e-05,4.39006e-05,4.38997e-05,3.9927e-05,3.99262e-05
135,5.71966e-05,5.71949e-05,4.78712e-05,4.78701e-05,4.35761e-05,4.35751e-05
136,4.5591e-05,4.55899e-05,3.85038e-05,3.85031e-05,3.59548e-05,3.59541e-05
137,5.47811e-05,5.47796e-05,4.57874e-05,4.57864e-05,4.25858e-05,4.25849e-05
138,5.2186e-05,5.21846e-05,4.40023e-05,4.40013e-05,4.09439e-05,4.09431e-05
139,5.61535e-05,5.6152e-05,4.93783e-05,4.9377e-05,4.31375e-05,4.31366e-05
140,4.84512e-05,4.845e-05,4.27305e-05,4.27296e-05,4.05191e-05,4.05183e-05
141,5.77998e-05,5.77981e-05,5.0373e-05,5.03717e-05,4.40999e-05,4.40989e-05
142,5.30354e-05,5.3034e-05,4.65749e-05,4.65739e-05,4.3261e-05,4.326e-05
143,5.9519e-05,5.95173e-05,5.20031e-05,5.20017e-05,4.57562e-05,4.57552e-05
144,4.647e-05,4.6469e-05,3.97398e-05,3.9739e-05,3.83795e-05,3.83788e-05
145,5.59067e-05,5.59052e-05,5.0594e-05,5.05927e-05,4.63197e-05,4.63186e-05
146,5.26991e-05,5.26977e-05,4.7599e-05,4.75978e-05,4.3476e-05,4.3475e-05
147,5.65304e-05,5.65288e-05,5.0514e-05,5.05127e-05,4.84231e-05,4.84219e-05
148,5.3797e-05,5.37956e-05,4.39062e-05,4.39053e-05,4.24057e-05,4.24048e-05
149,6.05845e-05,6.05826e-05,5.22625e-05,5.22612e-05,4.75872e-05,4.75861e-05
150,5.56666e-05,5.56651e-05,4.67473e-05,4.67462e-05,4.68126e-05,4.68115e-05
151,6.28651e-05,6.28631e-05,5.24852e-05,5.24838e-05,5.09117e-05,5.09104e-05
152,5.17617e-05,5.17604e-05,4.32282e-05,4.32272e-05,4.22749e-05,4.2274e-05
153,6.0154e-05,6.01522e-05,5.2672e-05,5.26706e-05,5.2313e-05,5.23117e-05
154,5.88731e-05,5.88713e-05,4.78184e-05,4.78173e-05,4.76751e-05,4.7674e-05
155,6.46029e-05,6.46008e-05,5.3852e-05,5.38505e-05,4.89554e-05,4.89542e-05
156,5.56917e-05,5.56901e-05,4.91148e-05,4.91136e-05,4.57847e-05,4.57836e-05
157,6.56787e-05,6.56765e-05,5.6248e-05,5.62465e-05,4.90146e-05,4.90134e-05
158,6.04844e-05,6.04825e-05,5.08021e-05,5.08008e-05,4.76906e-05,4.76895e-05
159,6.60057e-05,6.60035e-05,5.4472e-05,5.44705e-05,4.87163e-05,4.87151e-05
160,4.80708e-05,4.80696e-05,4.0688e-05,4.06872e-05,4.29014e-05,4.29004e-05
161,6.60932e-05,6.6091e-05,5.81089e-05,5.81072e-05,5.39389e-05,5.39374e-05
162,5.80349e-05,5.80333e-05,5.45175e-05,5.4516e-05,5.2662e-05,5.26606e-05
163,6.34129e-05,6.34109e-05,6.00969e-05,6.00951e-05,5.25369e-05,5.25355e-05
164,5.78136e-05,5.7812e-05,5.08399e-05,5.08386e-05,5.00279e-05,5.00266e-05
165,6.96561e-05,6.96537e-05,5.70137e-05,5.70121e-05,5.48105e-05,5.4809e-05
166,6.43094e-05,6.43074e-05,5.40207e-05,5.40192e-05,5.47496e-05,5.47481e-05
167,6.38624e-05,6.38604e-05,6.30225e-05,6.30205e-05,5.38155e-05,5.38141e-05
168,5.6117e-05,5.61155e-05,5.11602e-05,5.11589e-05,4.78933e-05,4.78922e-05
169,6.87244e-05,6.87221e-05,6.10019e-05,6.1e-05,5.70252e-05,5.70236e-05
170,6.7237e-05,6.72347e-05,5.59519e-05,5.59503e-05,5.40013e-05,5.39998e-05
171,6.87046e-05,6.87022e-05,6.14392e-05,6.14373e-05,5.84781e-05,5.84764e-05
172,6.12149e-05,6.1213e-05,5.2165e-05,5.21636e-05,5.19564e-05,5.19551e-05
173,7.22443e-05,7.22417e-05,6.28197e-05,6.28178e-05,5.35304e-05,5.35289e-05
174,6.81506e-05,6.81483e-05,5.83201e-05,5.83184e-05,5.71794e-05,5.71778e-05
175,7.44308e-05,7.4428e-05,6.20962e-05,6.20943e-05,5.99522e-05,5.99504e-05
176,5.51578e-05,5.51563e-05,4.65069e-05,4.65058e-05,4.82621e-05,4.82609e-05
177,6.7301e-05,6.72987e-05,6.23771e-05,6.23752e-05,5.53482e-05,5.53467e-05
178,6.91555e-05,6.91531e-05,5.79868e-05,5.79851e-05,5.54357e-05,5.54342e-05
179,7.08939e-05,7.08914e-05,6.53726e-05,6.53705e-05,5.91618e-05,5.916e-05
180,6.42892e-05,6.42871e-05,5.80201e-05,5.80184e-05,5.58498e-05,5.58482e-05
181,7.10295e-05,7.1027e-05,6.46551e-05,6.46531e-05,6.10465e-05,6.10446e-05
182,6.56697e-05,6.56675e-05,5.8296e-05,5.82943e-05,5.83723e-05,5.83706e-05
183,6.93947e-05,6.93923e-05,6.47285e-05,6.47264e-05,6.12914e-05,6.12896e-05
184,5.94279e-05,5.94261e-05,5.38646e-05,5.38631e-05,5.29554e-05,5.29539e-05
185,7.23801e-05,7.23775e-05,6.45072e-05,6.45051e-05,6.33625e-05,6.33605e-05
186,6.87815e-05,6.87792e-05,6.21748e-05,6.21729e-05,6.04747e-05,6.04729e-05
187,7.57324e-05,7.57296e-05,6.70506e-05,6.70483e-05,6.12377e-05,6.12358e-05
188,6.47824e-05,6.47803e-05,5.74366e-05,5.7435e-05,5.46107e-05,5.46092e-05
189,7.49218e-05,7.4919e-05,6.73806e-05,6.73783e-05,5.85164e-05,5.85147e-05
190,7.23216e-05,7.2319e-05,6.25341e-05,6.25321e-05,6.19488e-05,6.19469e-05
191,7.59014e-05,7.58985e-05,6.95691e-05,6.95667e-05,5.97506e-05,5.97488e-05
192,5.73731e-05,5.73715e-05,5.0693e-05,5.06918e-05,4.95611e-05,4.95599e-05
193,7.78742e-05,7.78712e-05,6.87736e-05,6.87712e-05,6.02249e-05,6.02231e-05
194,7.5188e-05,7.51851e-05,6.58687e-05,6.58665e-05,6.09007e-05,6.08989e-05
195,8.27342e-05,8.27308e-05,6.94333e-05,6.94308e-05,6.45807e-05,6.45786e-05
196,7.28266e-05,7.2824e-05,6.23263e-05,6.23244e-05,6.04137e-05,6.04119e-05
197,7.90516e-05,7.90485e-05,7.07196e-05,7.07171e-05,6.65247e-05,6.65224e-05
198,7.70088e-05,7.70059e-05,6.26032e-05,6.26012e-05,6.31407e-05,6.31387e-05
199,7.7026e-05,7.7023e-05,7.11058e-05,7.11033e-05,6.61089e-05,6.61068e-05
200,6.69098e-05,6.69076e-05,6.08985e-05,6.08966e-05,5.67614e-05,5.67598e-05
201,7.90591e-05,7.9056e-05,7.33965e-05,7.33938e-05,6.91824e-05,6.918e-05
202,7.16995e-05,7.1697e-05,6.78975e-05,6.78952e-05,6.62506e-05,6.62484e-05
203,8.21487e-05,8.21454e-05,7.47259e-05,7.47231e-05,6.99706e-05,6.99681e-05
204,7.07456e-05,7.07431e-05,6.54729e-05,6.54708e-05,5.93391e-05,5.93373e-05
205,8.30943e-05,8.30909e-05,7.53187e-05,7.53158e-05,6.77556e-05,6.77533e-05
206,7.87901e-05,7.8787e-05,7.15257e-05,7.15231e-05,6.98818e-05,6.98794e-05
207,8.56236e-05,8.56199e-05,7.67002e-05,7.66972e-05,7.09875e-05,7.0985e-05
208,6.79676e-05,6.79653e-05,6.0725e-05,6.07232e-05,5.89015e-05,5.88998e-05
209,8.50666e-05,8.5063e-05,7.64779e-05,7.6475e-05,6.84678e-05,6.84654e-05
210,8.0207e-05,8.02037e-05,6.99704e-05,6.99679e-05,6.94301e-05,6.94277e-05
211,8.5227e-05,8.52234e-05,7.8557e-05,7.8554e-05,7.28084e-05,7.28057e-05
212,8.0505e-05,8.05018e-05,6.86034e-05,6.8601e-05,6.60301e-05,6.60279e-05
213,8.79379e-05,8.79341e-05,7.73925e-05,7.73896e-05,7.50622e-05,7.50593e-05
214,8.40306e-05,8.40271e-05,7.47584e-05,7.47556e-05,7.10176e-05,7.10151e-05
215,9.33271e-05,9.33227e-05,8.35537e-05,8.35502e-05,7.33702e-05,7.33675e-05
216,7.26406e-05,7.2638e-05,6.63225e-05,6.63203e-05,6.21864e-05,6.21844e-05
217,8.72508e-05,8.7247e-05,7.96204e-05,7.96173e-05,7.52068e-05,7.5204e-05
218,7.9428e-05,7.94249e-05,7.26137e-05,7.26111e-05,7.1869e-05,7.18664e-05
219,8.78623e-05,8.78585e-05,8.02e-05,8.01968e-05,7.44302e-05,7.44274e-05
220,8.05159e-05,8.05127e-05,6.6415e-05,6.64128e-05,6.40654e-05,6.40634e-05
221,9.48345e-05,9.483e-05,8.05872e-05,8.0584e-05,7.70388e-05,7.70359e-05
222,8.80703e-05,8.80664e-05,7.35806e-05,7.35778e-05,7.17964e-05,7.17939e-05
223,9.13412e-05,9.1337e-05,7.9116e-05,7.91128e-05,7.40458e-05,7.4043e-05
224,6.85609e-05,6.85585e-05,6.06698e-05,6.0668e-05,6.20721e-05,6.20702e-05
225,9.41473e-05,9.41429e-05,8.05537e-05,8.05504e-05,7.64899e-05,7.6487e-05
226,8.77522e-05,8.77483e-05,7.42998e-05,7.4297e-05,7.41444e-05,7.41416e-05
227,9.72339e-05,9.72292e-05,8.15272e-05,8.15239e-05,7.74143e-05,7.74113e-05
228,9.11435e-05,9.11394e-05,7.5133e-05,7.51302e-05,7.19203e-05,7.19177e-05
229,9.80251e-05,9.80203e-05,8.44725e-05,8.4469e-05,8.10805e-05,8.10772e-05
230,9.30744e-05,9.307e-05,7.69808e-05,7.69778e-05,7.60857e-05,7.60828e-05
231,9.77978e-05,9.7793e-05,8.53629e-05,8.53593e-05,7.94316e-05,7.94285e-05
232,8.14667e-05,8.14634e-05,6.9922e-05,6.99195e-05,6.76746e-05,6.76723e-05
233,9.25645e-05,9.25602e-05,8.37241e-05,8.37206e-05,8.01286e-05,8.01254e-05
234,8.63566e-05,8.63529e-05,8.10389e-05,8.10356e-05,8.01408e-05,8.01375e-05
235,9.516e-05,9.51554e-05,8.47599e-05,8.47563e-05,8.26629e-05,8.26595e-05
236,8.26862e-05,8.26827e-05,7.2651e-05,7.26484e-05,7.31102e-05,7.31075e-05
237,0.000101906,0.000101901,8.91708e-05,8.91669e-05,8.32207e-05,8.32172e-05
238,8.94436e-05,8.94396e-05,8.15576e-05,8.15543e-05,8.14234e-05,8.14201e-05
239,9.26503e-05,9.2646e-05,8.82377e-05,8.82338e-05,8.39294e-05,8.39259e-05
240,7.64858e-05,7.64829e-05,6.75554e-05,6.75531e-05,6.91091e-05,6.91067e-05
241,0.000103914,0.000103908,8.4022e-05,8.40185e-05,8.03111e-05,8.03079e-05
242,9.6519e-05,9.65144e-05,7.79134e-05,7.79104e-05,7.84106e-05,7.84075e-05
243,0.000103551,0.000103546,8.80057e-05,8.80018e-05,8.05318e-05,8.05285e-05
244,9.07465e-05,9.07424e-05,7.3074e-05,7.30713e-05,7.75898e-05,7.75868e-05
245,0.000106055,0.00010605,8.55842e-05,8.55805e-05,8.78608e-05,8.78569e-05
246,0.000101956,0.00010195,7.9628e-05,7.96248e-05,7.94918e-05,7.94886e-05
247,0.000103614,0.000103608,8.82167e-05,8.82128e-05,8.13001e-05,8.12968e-05
248,8.60848e-05,8.60811e-05,7.2438e-05,7.24354e-05,7.05294e-05,7.05269e-05
249,0.000100147,0.000100142,8.83092e-05,8.83053e-05,8.33894e-05,8.33859e-05
250,0.00010285,0.000102845,8.09968e-05,8.09935e-05,7.92947e-05,7.92916e-05
