n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,0.0230099,0.0227472,0.0127934,0.0127119,0.000533568,0.000533426
6,0.021119,0.0208976,0.0170324,0.0168882,0.0129458,0.0128624
7,0.0518988,0.050575,0.0355746,0.0349492,0.031488,0.0309974
8,0.0765042,0.073651,0.0398136,0.0390315,0.0377703,0.0370659
9,0.0929809,0.0887891,0.0644635,0.0624296,0.0481393,0.0469989
10,0.0972421,0.0926637,0.0808957,0.0777101,0.0523783,0.0510302
11,0.10559,0.100206,0.105546,0.100167,0.0933302,0.0891073
12,0.103688,0.0984935,0.128074,0.120212,0.103666,0.0984735
13,0.126261,0.118615,0.142563,0.132867,0.140509,0.131084
14,0.138674,0.129488,0.120317,0.113361,0.150845,0.140019
15,0.142913,0.13317,0.136816,0.127869,0.173418,0.159214
16,0.143087,0.133322,0.100278,0.0954139,0.141099,0.131597
17,0.161541,0.149168,0.151346,0.14045,0.163673,0.15098
18,0.173975,0.159682,0.147456,0.1371,0.171943,0.157973
19,0.167953,0.154607,0.167998,0.154644,0.161956,0.149522
20,0.166151,0.153082,0.164152,0.151387,0.155968,0.144413
21,0.186603,0.170227,0.188713,0.171976,0.166326,0.15323
22,0.178694,0.163638,0.20519,0.185507,0.19092,0.173801
23,0.205276,0.185577,0.223665,0.200417,0.193149,0.175641
24,0.193335,0.175794,0.244273,0.216726,0.195423,0.177513
25,0.254509,0.224703,0.24236,0.215226,0.213887,0.19256
26,0.279159,0.24358,0.226233,0.202467,0.244578,0.216965
27,0.340388,0.288506,0.246774,0.218683,0.267162,0.234451
28,0.279619,0.243928,0.204194,0.184696,0.251102,0.222057
29,0.314297,0.269698,0.283769,0.24706,0.285857,0.24863
30,0.304266,0.262335,0.2636,0.231719,0.326742,0.27873
31,0.36554,0.306178,0.278011,0.242711,0.320898,0.274503
32,0.312877,0.26866,0.247714,0.219417,0.286414,0.249048
33,0.353651,0.29788,0.355772,0.299368,0.343624,0.290804
34,0.365975,0.30648,0.366152,0.306603,0.337613,0.286529
35,0.404906,0.33296,0.39681,0.327538,0.354067,0.298172
36,0.376629,0.31383,0.380727,0.316636,0.32367,0.276511
37,0.421535,0.343961,0.417604,0.341377,0.350397,0.295591
38,0.370782,0.309806,0.399477,0.329329,0.372903,0.311268
39,0.421884,0.34419,0.440307,0.356161,0.387303,0.321115
40,0.391609,0.324032,0.322403,0.275594,0.365146,0.305905
41,0.479179,0.380709,0.442622,0.35765,0.401967,0.330997
42,0.477266,0.379523,0.434745,0.352571,0.434679,0.352527
43,0.569156,0.433997,0.475509,0.378431,0.451155,0.363108
44,0.500281,0.393639,0.412696,0.338137,0.455406,0.365809
45,0.557357,0.427279,0.479989,0.38121,0.480044,0.381244
46,0.530991,0.411978,0.463928,0.371191,0.45179,0.363512
47,0.624924,0.464698,0.516918,0.403644,0.478428,0.380243
48,0.503078,0.395333,0.450141,0.362462,0.405366,0.333267
49,0.631248,0.468072,0.552003,0.424205,0.505196,0.396613
50,0.594787,0.44832,0.499252,0.393015,0.519541,0.405206
51,0.684501,0.495658,0.548199,0.42201,0.554296,0.425523
52,0.583088,0.441828,0.460912,0.369292,0.49145,0.388261
53,0.660442,0.483377,0.585239,0.443027,0.603485,0.453097
54,0.617929,0.46094,0.534498,0.414037,0.546747,0.42117
55,0.650619,0.478277,0.601824,0.452188,0.612029,0.457751
56,0.577657,0.438788,0.500389,0.393705,0.522765,0.407121
57,0.687592,0.497215,0.64295,0.474261,0.630735,0.467799
58,0.618583,0.461293,0.608567,0.45587,0.62689,0.465749
59,0.70009,0.50346,0.722622,0.514522,0.669796,0.488187
60,0.641475,0.473485,0.672081,0.489355,0.61911,0.461577
61,0.796197,0.548959,0.710867,0.508782,0.684471,0.495643
62,0.767843,0.535987,0.645989,0.475856,0.649998,0.477953
63,0.837091,0.567032,0.723409,0.514904,0.674626,0.490653
64,0.701363,0.504091,0.569004,0.433911,0.55067,0.423436
65,0.851965,0.573424,0.764336,0.534357,0.703403,0.505102
66,0.780791,0.541956,0.731984,0.519046,0.674994,0.490841
67,0.898844,0.59296,0.785096,0.543924,0.70785,0.507298
68,0.844316,0.570149,0.704049,0.505422,0.618453,0.461223
69,0.948221,0.61257,0.793574,0.547775,0.75906,0.531894
70,0.85879,0.576326,0.759235,0.531976,0.72049,0.513486
71,0.942285,0.610264,0.893612,0.590825,0.82454,0.561563
72,0.841039,0.568738,0.735275,0.520627,0.694487,0.50067
73,0.979425,0.624473,0.8859,0.587657,0.875783,0.583464
74,0.857535,0.575793,0.796635,0.549157,0.837213,0.567084
75,1.00001,0.632123,0.878164,0.584455,0.916843,0.600221
76,0.859927,0.576807,0.721726,0.514087,0.725869,0.516096
77,1.08586,0.66239,0.894771,0.591299,0.903067,0.594675
78,0.984318,0.626306,0.815635,0.557642,0.866462,0.579564
79,1.08824,0.66319,0.923616,0.602919,0.909468,0.597262
80,0.891453,0.58994,0.722525,0.514475,0.702081,0.504447
