n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,0.0230099,0.0227472,0.0127934,0.0127119,0.000533568,0.000533426
6,0.021119,0.0208976,0.0170324,0.0168882,0.0129458,0.0128624
7,0.0518988,0.050575,0.0355746,0.0349492,0.031488,0.0309974
8,0.0765042,0.073651,0.0398136,0.0390315,0.0377703,0.0370659
9,0.0929809,0.0887891,0.0644635,0.0624296,0.0481393,0.0469989
10,0.12978,0.121711,0.0808957,0.0777101,0.0523783,0.0510302
11,0.150321,0.139568,0.105546,0.100167,0.0933302,0.0891073
12,0.193216,0.175696,0.128074,0.120212,0.103666,0.0984735
13,0.234079,0.208701,0.16695,0.153758,0.140509,0.131084
14,0.283071,0.246533,0.193543,0.175966,0.150845,0.140019
15,0.323934,0.276702,0.230386,0.205773,0.173418,0.159214
16,0.401376,0.330602,0.26714,0.234434,0.210216,0.189591
17,0.436143,0.353475,0.324305,0.27697,0.255188,0.225229
18,0.505457,0.39677,0.356995,0.300224,0.27162,0.237857
19,0.422356,0.344499,0.41416,0.339105,0.326753,0.278738
20,0.375745,0.313223,0.44685,0.36036,0.33911,0.287596
21,0.440995,0.356604,0.508079,0.39835,0.404415,0.332633
22,0.412696,0.338137,0.561091,0.429414,0.43304,0.351466
23,0.435225,0.352881,0.628417,0.466565,0.496302,0.391222
24,0.398865,0.328918,0.681429,0.494107,0.531024,0.411998
25,0.472243,0.376398,0.537406,0.415738,0.559694,0.428616
26,0.480591,0.381582,0.500935,0.394036,0.637137,0.471196
27,0.4991,0.392923,0.537756,0.415942,0.702431,0.50462
28,0.485093,0.38436,0.478863,0.380513,0.75341,0.529242
29,0.52388,0.407781,0.550298,0.423222,0.786156,0.544407
30,0.574904,0.437241,0.513849,0.401811,0.898134,0.592671
31,0.603618,0.45317,0.564917,0.431593,0.628115,0.466403
32,0.611966,0.457716,0.497985,0.392246,0.585525,0.443187
33,0.63445,0.469773,0.581613,0.441004,0.634561,0.469832
34,0.695591,0.50122,0.587884,0.444499,0.628573,0.466647
35,0.758819,0.531781,0.638953,0.472155,0.667381,0.48695
36,0.77936,0.541301,0.618761,0.461389,0.647167,0.476473
37,0.698225,0.502532,0.649496,0.477691,0.669785,0.488181
38,0.663796,0.485107,0.688338,0.49759,0.678088,0.492414
39,0.698574,0.502706,0.729235,0.517722,0.678263,0.492502
40,0.668343,0.487443,0.727344,0.516809,0.664257,0.485344
41,0.772171,0.537991,0.764109,0.534251,0.696991,0.501918
42,0.774367,0.539005,0.843662,0.569867,0.739886,0.522832
43,0.845846,0.570806,0.870222,0.581141,0.768556,0.536318
44,0.781079,0.542088,0.900913,0.593801,0.74842,0.526886
45,0.854413,0.574467,0.915324,0.599613,0.803542,0.55226
46,0.87491,0.5831,1.00498,0.633949,0.850501,0.572799
47,0.948377,0.612631,1.05395,0.651442,0.844624,0.570281
48,0.865276,0.579065,1.12536,0.675466,0.848874,0.572103
49,1.04437,0.648088,0.950758,0.613552,0.893835,0.590916
50,1.04645,0.648817,0.942738,0.61044,0.950922,0.613615
51,1.17483,0.691128,0.951108,0.613687,1.01214,0.63656
52,1.12221,0.67444,0.880033,0.585231,1.00419,0.633657
53,1.24847,0.713056,0.971801,0.621599,1.07761,0.659591
54,1.27091,0.719424,0.953619,0.614656,1.10623,0.669198
55,1.24683,0.712586,0.98843,0.62784,1.20811,0.701238
56,1.08845,0.663262,0.960176,0.617175,1.1717,0.690161
57,1.26755,0.718478,1.07829,0.659822,1.23903,0.710335
58,1.15367,0.684524,1.08463,0.661975,1.3083,0.72972
59,1.29624,0.72644,1.16215,0.687188,1.39595,0.752401
60,1.16034,0.686621,1.0912,0.664187,1.43067,0.760851
61,1.29473,0.726028,1.16047,0.686662,1.25212,0.714102
62,1.25824,0.715845,1.16272,0.687366,1.20955,0.701669
63,1.35605,0.742322,1.24021,0.710677,1.24231,0.711283
64,1.15101,0.683684,1.17942,0.692543,1.11836,0.673186
65,1.38299,0.749173,1.35445,0.741911,1.28332,0.722885
66,1.33218,0.736099,1.39735,0.752748,1.27117,0.719497
67,1.44014,0.763106,1.46065,0.767915,1.30804,0.72965
68,1.37335,0.746744,1.45062,0.765575,1.237,0.709745
69,1.52608,0.782613,1.51379,0.779927,1.32674,0.73466
70,1.50983,0.779052,1.55872,0.789595,1.2882,0.724232
71,1.62995,0.80406,1.69117,0.815696,1.33933,0.737979
72,1.52457,0.782285,1.64451,0.806893,1.26628,0.718121
73,1.52477,0.782328,1.55735,0.789306,1.37434,0.746993
74,1.43539,0.761977,1.53113,0.783708,1.41507,0.757091
75,1.5738,0.792744,1.61067,0.800246,1.44789,0.764934
76,1.41744,0.757666,1.47247,0.770643,1.37486,0.747125
77,1.61492,0.801094,1.5865,0.795359,1.48699,0.773947
78,1.5866,0.795381,1.52164,0.781647,1.48707,0.773966
79,1.71902,0.820758,1.62157,0.802412,1.55846,0.78954
80,1.46524,0.768978,1.42449,0.759369,1.49767,0.776349
