n,k,model,status,blocks,qubits,toffolis,joint_measure,measure,automorphism,cross_module,relay_hops,analytic_total_error,total_error,p_fail
75,4,gross_1e-3,analytic,19,209,147,545,2303,1764,73,545,1.122428028,1.122428028,0.6745114608701679
75,4,gross_1e-4,analytic,19,209,147,545,2303,1764,73,545,2.85407441496e-05,2.85407441496e-05,2.854033686638946e-05
75,5,gross_1e-3,analytic,15,165,147,543,2295,1764,61,543,1.1183192280000003,1.1183192280000003,0.6731713423063632
75,5,gross_1e-4,analytic,15,165,147,543,2295,1764,61,543,2.84364641496e-05,2.84364641496e-05,2.8436059837155803e-05
85,3,gross_1e-3,analytic,29,319,167,715,2811,2004,94,715,1.4699593080000002,1.4699593080000002,0.7700651584950706
85,3,gross_1e-4,analytic,29,319,167,715,2811,2004,94,715,3.7230853285599995e-05,3.7230853285599995e-05,3.723016022594283e-05
85,4,gross_1e-3,analytic,22,242,167,627,2625,2004,81,627,1.291014708,1.291014708,0.7250083947100874
85,4,gross_1e-4,analytic,22,242,167,627,2625,2004,81,627,3.28101932856e-05,3.28101932856e-05,3.2809655037047136e-05
85,5,gross_1e-3,analytic,17,187,167,613,2607,2004,71,613,1.262674908,1.262674908,0.71710370803805
85,5,gross_1e-4,analytic,17,187,167,613,2607,2004,71,613,3.21186132856e-05,3.21186132856e-05,3.211809748848715e-05
95,3,gross_1e-3,analytic,32,352,187,771,3060,2244,107,771,1.585475688,1.585475688,0.7951496749049928
95,3,gross_1e-4,analytic,32,352,187,771,3060,2244,107,771,4.0175972421600004e-05,4.0175972421600004e-05,4.017516537802024e-05
95,4,gross_1e-3,analytic,24,264,187,726,3003,2244,91,726,1.494392988,1.494392988,0.7756152323533289
95,4,gross_1e-4,analytic,24,264,187,726,3003,2244,91,726,3.79539024216e-05,3.79539024216e-05,3.795318218136057e-05
95,5,gross_1e-3,analytic,19,209,187,661,2865,2244,79,661,1.362211188,1.362211188,0.7439061212862416
95,5,gross_1e-4,analytic,19,209,187,661,2865,2244,79,661,3.46880224216e-05,3.46880224216e-05,3.468742079915099e-05
105,3,gross_1e-3,analytic,35,385,207,876,3453,2484,118,876,1.801080468,1.801080468,0.8348796154864346
105,3,gross_1e-4,analytic,35,385,207,876,3453,2484,118,876,4.56234315576e-05,4.56234315576e-05,4.5622390824728853e-05
105,4,gross_1e-3,analytic,27,297,207,797,3281,2484,101,797,1.640381268,1.640381268,0.8060939019946816
