n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,6.0486e-07,6.0486e-07,3.4921e-07,3.4921e-07,4.24302e-08,4.24302e-08
6,5.65853e-07,5.65853e-07,4.63593e-07,4.63593e-07,3.61333e-07,3.61333e-07
7,1.34291e-06,1.34291e-06,9.35886e-07,9.35886e-07,8.33626e-07,8.33626e-07
8,1.96253e-06,1.96253e-06,1.05027e-06,1.05027e-06,9.99139e-07,9.99138e-07
9,2.38167e-06,2.38167e-06,1.67393e-06,1.67393e-06,1.26691e-06,1.26691e-06
10,3.30201e-06,3.30201e-06,2.08903e-06,2.08903e-06,1.38129e-06,1.38129e-06
11,3.8214e-06,3.82139e-06,2.7127e-06,2.71269e-06,2.40996e-06,2.40995e-06
12,4.8921e-06,4.89209e-06,3.27816e-06,3.27816e-06,2.6747e-06,2.6747e-06
13,5.91268e-06,5.91267e-06,4.25266e-06,4.25265e-06,3.59908e-06,3.59908e-06
14,7.13375e-06,7.13372e-06,4.91837e-06,4.91835e-06,3.86383e-06,3.86382e-06
15,8.15433e-06,8.1543e-06,5.84275e-06,5.84273e-06,4.43333e-06,4.43332e-06
16,1.00771e-05,1.0077e-05,6.75905e-06,6.75903e-06,5.35367e-06,5.35366e-06
17,1.09473e-05,1.09472e-05,8.18464e-06,8.1846e-06,6.47854e-06,6.47851e-06
18,1.26696e-05,1.26695e-05,9.0007e-06,9.00066e-06,6.89364e-06,6.89361e-06
19,1.06328e-05,1.06328e-05,1.04263e-05,1.04262e-05,8.2691e-06,8.26907e-06
20,9.49016e-06,9.49012e-06,1.12423e-05,1.12423e-05,8.58295e-06,8.58292e-06
21,1.11122e-05,1.11121e-05,1.27682e-05,1.27681e-05,1.021e-05,1.021e-05
22,1.04226e-05,1.04226e-05,1.40854e-05,1.40853e-05,1.09258e-05,1.09258e-05
23,1.09881e-05,1.0988e-05,1.57616e-05,1.57615e-05,1.25018e-05,1.25017e-05
24,1.01041e-05,1.01041e-05,1.70789e-05,1.70787e-05,1.3368e-05,1.33679e-05
25,1.19266e-05,1.19265e-05,1.35426e-05,1.35425e-05,1.40878e-05,1.40877e-05
26,1.21453e-05,1.21452e-05,1.26485e-05,1.26484e-05,1.60106e-05,1.60105e-05
27,1.26145e-05,1.26145e-05,1.35709e-05,1.35708e-05,1.76366e-05,1.76365e-05
28,1.22819e-05,1.22818e-05,1.21194e-05,1.21193e-05,1.89038e-05,1.89036e-05
29,1.32483e-05,1.32482e-05,1.38999e-05,1.38998e-05,1.97249e-05,1.97247e-05
30,1.45195e-05,1.45194e-05,1.30078e-05,1.30077e-05,2.24987e-05,2.24984e-05
31,1.52434e-05,1.52433e-05,1.4283e-05,1.42829e-05,1.58549e-05,1.58548e-05
32,1.54621e-05,1.54619e-05,1.26392e-05,1.26391e-05,1.48085e-05,1.48084e-05
33,1.60235e-05,1.60234e-05,1.47204e-05,1.47203e-05,1.60336e-05,1.60335e-05
34,1.75412e-05,1.75411e-05,1.48849e-05,1.48848e-05,1.58913e-05,1.58912e-05
35,1.91141e-05,1.9114e-05,1.61601e-05,1.616e-05,1.68597e-05,1.68596e-05
36,1.96335e-05,1.96333e-05,1.5669e-05,1.56689e-05,1.63666e-05,1.63665e-05
37,1.76408e-05,1.76407e-05,1.6442e-05,1.64419e-05,1.69402e-05,1.694e-05
38,1.67979e-05,1.67978e-05,1.74135e-05,1.74133e-05,1.71548e-05,1.71546e-05
39,1.76691e-05,1.7669e-05,1.84371e-05,1.84369e-05,1.71689e-05,1.71688e-05
40,1.69385e-05,1.69384e-05,1.83981e-05,1.83979e-05,1.68363e-05,1.68361e-05
41,1.95098e-05,1.95096e-05,1.93154e-05,1.93152e-05,1.76564e-05,1.76562e-05
42,1.95731e-05,1.95729e-05,2.12953e-05,2.12951e-05,1.87271e-05,1.87269e-05
43,2.13576e-05,2.13573e-05,2.1958e-05,2.19578e-05,1.9447e-05,1.94468e-05
44,1.9776e-05,1.97758e-05,2.2727e-05,2.27267e-05,1.89609e-05,1.89607e-05
45,2.15944e-05,2.15942e-05,2.3093e-05,2.30927e-05,2.03354e-05,2.03351e-05
46,2.21098e-05,2.21095e-05,2.53184e-05,2.53181e-05,2.15063e-05,2.15061e-05
47,2.39403e-05,2.39401e-05,2.65375e-05,2.65371e-05,2.13741e-05,2.13739e-05
48,2.19036e-05,2.19034e-05,2.83159e-05,2.83155e-05,2.14895e-05,2.14893e-05
49,2.63364e-05,2.6336e-05,2.40187e-05,2.40185e-05,2.26134e-05,2.26131e-05
50,2.63885e-05,2.63882e-05,2.38264e-05,2.38261e-05,2.40319e-05,2.40316e-05
51,2.95764e-05,2.9576e-05,2.4047e-05,2.40467e-05,2.55567e-05,2.55564e-05
52,2.82915e-05,2.82911e-05,2.22959e-05,2.22956e-05,2.53704e-05,2.537e-05
53,3.14211e-05,3.14206e-05,2.45785e-05,2.45782e-05,2.71969e-05,2.71965e-05
54,3.19785e-05,3.1978e-05,2.41355e-05,2.41353e-05,2.79127e-05,2.79123e-05
55,3.14033e-05,3.14028e-05,2.50098e-05,2.50095e-05,3.04409e-05,3.04405e-05
56,2.75041e-05,2.75037e-05,2.43243e-05,2.4324e-05,2.95529e-05,2.95525e-05
57,3.19369e-05,3.19363e-05,2.72515e-05,2.72511e-05,3.12291e-05,3.12286e-05
58,2.91221e-05,2.91216e-05,2.7423e-05,2.74226e-05,3.29473e-05,3.29468e-05
59,3.26567e-05,3.26562e-05,2.93528e-05,2.93524e-05,3.51247e-05,3.51241e-05
60,2.93209e-05,2.93205e-05,2.76128e-05,2.76124e-05,3.59909e-05,3.59903e-05
61,3.2651e-05,3.26505e-05,2.9331e-05,2.93306e-05,3.16046e-05,3.16041e-05
62,3.17549e-05,3.17544e-05,2.93993e-05,2.93989e-05,3.05601e-05,3.05597e-05
63,3.41829e-05,3.41823e-05,3.13261e-05,3.13256e-05,3.13823e-05,3.13818e-05
64,2.9139e-05,2.91386e-05,2.98366e-05,2.98362e-05,2.8325e-05,2.83246e-05
65,3.48789e-05,3.48783e-05,3.41692e-05,3.41686e-05,3.2415e-05,3.24144e-05
66,3.36239e-05,3.36234e-05,3.52399e-05,3.52393e-05,3.21163e-05,3.21158e-05
67,3.63015e-05,3.63008e-05,3.68199e-05,3.68192e-05,3.30427e-05,3.30421e-05
68,3.46708e-05,3.46702e-05,3.65794e-05,3.65787e-05,3.12945e-05,3.12941e-05
69,3.8456e-05,3.84553e-05,3.81472e-05,3.81465e-05,3.35281e-05,3.35275e-05
70,3.80541e-05,3.80533e-05,3.9268e-05,3.92673e-05,3.25799e-05,3.25793e-05
