n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,6.0486e-07,6.0486e-07,3.4921e-07,3.4921e-07,4.24302e-08,4.24302e-08
6,5.65853e-07,5.65853e-07,4.63593e-07,4.63593e-07,3.61333e-07,3.61333e-07
7,1.34291e-06,1.34291e-06,9.35886e-07,9.35886e-07,8.33626e-07,8.33626e-07
8,1.96253e-06,1.96253e-06,1.05027e-06,1.05027e-06,9.99139e-07,9.99138e-07
9,2.38167e-06,2.38167e-06,1.67393e-06,1.67393e-06,1.26691e-06,1.26691e-06
10,3.30201e-06,3.30201e-06,2.08903e-06,2.08903e-06,1.38129e-06,1.38129e-06
11,3.8214e-06,3.82139e-06,2.7127e-06,2.71269e-06,2.40996e-06,2.40995e-06
12,4.8921e-06,4.89209e-06,3.27816e-06,3.27816e-06,2.6747e-06,2.6747e-06
13,5.91268e-06,5.91267e-06,4.25266e-06,4.25265e-06,3.59908e-06,3.59908e-06
14,7.13375e-06,7.13372e-06,4.91837e-06,4.91835e-06,3.86383e-06,3.86382e-06
15,8.15433e-06,8.1543e-06,5.84275e-06,5.84273e-06,4.43333e-06,4.43332e-06
16,6.36617e-06,6.36615e-06,6.75905e-06,6.75903e-06,5.35367e-06,5.35366e-06
17,7.33664e-06,7.33661e-06,8.18464e-06,8.1846e-06,6.47854e-06,6.47851e-06
18,7.14626e-06,7.14623e-06,9.0007e-06,9.00066e-06,6.89364e-06,6.89361e-06
19,8.21696e-06,8.21693e-06,1.04263e-05,1.04262e-05,8.2691e-06,8.26907e-06
20,7.12846e-06,7.12844e-06,1.12423e-05,1.12423e-05,8.58295e-06,8.58292e-06
21,9.20561e-06,9.20556e-06,9.46025e-06,9.4602e-06,1.021e-05,1.021e-05
22,8.56819e-06,8.56815e-06,8.46593e-06,8.46589e-06,1.09258e-05,1.09258e-05
23,9.24197e-06,9.24193e-06,9.73913e-06,9.73909e-06,1.25018e-05,1.25017e-05
24,8.85213e-06,8.85209e-06,7.68624e-06,7.68621e-06,1.3368e-05,1.33679e-05
25,1.0381e-05,1.03809e-05,9.9679e-06,9.96785e-06,1.40878e-05,1.40877e-05
26,1.08963e-05,1.08963e-05,9.4768e-06,9.47676e-06,1.07961e-05,1.0796e-05
27,1.16633e-05,1.16632e-05,1.03009e-05,1.03009e-05,1.16202e-05,1.16202e-05
28,1.1526e-05,1.1526e-05,9.76377e-06,9.76372e-06,1.08244e-05,1.08243e-05
29,1.28965e-05,1.28964e-05,1.08385e-05,1.08385e-05,1.18961e-05,1.1896e-05
30,1.37677e-05,1.37676e-05,1.06481e-05,1.06481e-05,1.13017e-05,1.13016e-05
31,1.25709e-05,1.25708e-05,1.18231e-05,1.1823e-05,1.14682e-05,1.14682e-05
32,1.07746e-05,1.07746e-05,1.14905e-05,1.14904e-05,1.0928e-05,1.0928e-05
33,1.31515e-05,1.31514e-05,1.21531e-05,1.21531e-05,1.18524e-05,1.18523e-05
34,1.22635e-05,1.22634e-05,1.28219e-05,1.28218e-05,1.23166e-05,1.23165e-05
35,1.38364e-05,1.38363e-05,1.4495e-05,1.44949e-05,1.29914e-05,1.29913e-05
36,1.2349e-05,1.23489e-05,1.51207e-05,1.51206e-05,1.31058e-05,1.31057e-05
37,1.52802e-05,1.528e-05,1.49794e-05,1.49793e-05,1.37786e-05,1.37785e-05
38,1.5553e-05,1.55529e-05,1.65503e-05,1.65502e-05,1.41906e-05,1.41905e-05
39,1.68201e-05,1.682e-05,1.80721e-05,1.80719e-05,1.48173e-05,1.48172e-05
40,1.52785e-05,1.52784e-05,1.92501e-05,1.92499e-05,1.49829e-05,1.49827e-05
41,1.76544e-05,1.76542e-05,1.63553e-05,1.63552e-05,1.58019e-05,1.58018e-05
42,1.90339e-05,1.90337e-05,1.61138e-05,1.61136e-05,1.68686e-05,1.68685e-05
43,2.09025e-05,2.09022e-05,1.71855e-05,1.71853e-05,1.79945e-05,1.79943e-05
44,1.99142e-05,1.9914e-05,1.52338e-05,1.52337e-05,1.77069e-05,1.77067e-05
45,2.19412e-05,2.1941e-05,1.7316e-05,1.73159e-05,1.92828e-05,1.92827e-05
46,2.11094e-05,2.11092e-05,1.70284e-05,1.70283e-05,2.055e-05,2.05498e-05
47,2.24236e-05,2.24234e-05,1.8048e-05,1.80479e-05,2.14253e-05,2.1425e-05
48,1.80652e-05,1.8065e-05,1.62067e-05,1.62066e-05,2.18393e-05,2.18391e-05
49,2.2902e-05,2.29017e-05,2.02496e-05,2.02494e-05,2.31647e-05,2.31644e-05
50,2.25273e-05,2.2527e-05,1.96624e-05,1.96622e-05,2.45822e-05,2.45819e-05
51,2.41412e-05,2.41409e-05,2.15811e-05,2.15808e-05,2.21004e-05,2.21002e-05
52,2.08515e-05,2.08513e-05,2.00374e-05,2.00372e-05,2.06009e-05,2.06007e-05
53,2.38769e-05,2.38766e-05,2.20184e-05,2.20181e-05,2.30329e-05,2.30326e-05
54,2.45547e-05,2.45544e-05,2.28967e-05,2.28964e-05,2.16857e-05,2.16855e-05
55,2.46519e-05,2.46516e-05,2.5067e-05,2.50667e-05,2.22532e-05,2.2253e-05
56,2.23696e-05,2.23694e-05,2.32758e-05,2.32755e-05,2.05552e-05,2.0555e-05
57,2.5797e-05,2.57966e-05,2.55063e-05,2.5506e-05,2.39395e-05,2.39392e-05
58,2.63163e-05,2.6316e-05,2.64778e-05,2.64775e-05,2.33522e-05,2.33519e-05
59,2.81308e-05,2.81304e-05,2.8998e-05,2.89975e-05,2.42204e-05,2.42201e-05
60,2.65021e-05,2.65017e-05,2.83525e-05,2.83521e-05,2.20814e-05,2.20812e-05
61,2.71116e-05,2.71112e-05,2.70295e-05,2.70292e-05,2.44011e-05,2.44008e-05
62,2.59269e-05,2.59266e-05,2.58428e-05,2.58425e-05,2.40684e-05,2.40681e-05
63,2.70376e-05,2.70372e-05,2.78638e-05,2.78634e-05,2.43873e-05,2.4387e-05
64,2.45027e-05,2.45024e-05,2.41529e-05,2.41526e-05,2.42602e-05,2.42599e-05
65,3.003e-05,3.00296e-05,2.83401e-05,2.83397e-05,2.60275e-05,2.60272e-05
66,2.97045e-05,2.9704e-05,2.7806e-05,2.78056e-05,2.70481e-05,2.70477e-05
67,3.24833e-05,3.24828e-05,2.95713e-05,2.95708e-05,2.82692e-05,2.82688e-05
68,2.8546e-05,2.85456e-05,2.6924e-05,2.69236e-05,2.82433e-05,2.82429e-05
69,3.12095e-05,3.1209e-05,2.90062e-05,2.90058e-05,3.016e-05,3.01595e-05
70,3.34481e-05,3.34475e-05,2.93281e-05,2.93277e-05,2.97271e-05,2.97266e-05
