n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
102,2.0609,0.872661,1.75408,0.826934,1.75613,0.827287
103,2.1364,0.881921,1.92512,0.854141,1.79702,0.834208
104,1.88856,0.84871,1.69349,0.816123,1.70983,0.819104
105,2.26089,0.895742,1.96,0.859142,1.84621,0.842166
106,2.072,0.874067,1.89313,0.8494,1.87474,0.846605
107,2.19632,0.888788,2.0417,0.870192,1.86275,0.844755
108,1.94229,0.856625,1.83255,0.839996,1.78986,0.833016
109,2.35717,0.905312,1.94447,0.856936,1.84691,0.842276
110,2.15799,0.884443,1.88366,0.847968,1.84696,0.842284
111,2.25586,0.895217,2.01806,0.867087,1.8513,0.842967
112,1.86784,0.845544,1.76434,0.828699,1.73176,0.823028
113,2.35394,0.905006,2.01032,0.866054,1.95955,0.859078
114,2.2017,0.889385,2.01471,0.866641,1.95564,0.858527
115,2.2832,0.898043,2.15303,0.883868,1.9782,0.861681
116,2.07609,0.874581,2.03951,0.869908,1.87278,0.846305
117,2.44206,0.913019,2.1453,0.882967,2.05184,0.871501
118,2.27751,0.897461,2.11092,0.878874,2.04784,0.870986
119,2.44038,0.912872,2.32057,0.901782,2.15585,0.884195
120,2.19467,0.888605,2.05655,0.872105,2.02614,0.868157
121,2.44488,0.913264,2.20511,0.889761,2.14827,0.883314
122,2.17679,0.886595,2.11178,0.878977,2.16867,0.88567
123,2.35593,0.905194,2.2522,0.894832,2.26845,0.896528
124,2.21571,0.890924,2.03488,0.869304,2.22812,0.892269
125,2.49838,0.917782,2.214,0.890737,2.31572,0.901305
126,2.41526,0.910656,2.11657,0.879556,2.14511,0.882945
127,2.56198,0.922848,2.2388,0.893414,2.23482,0.892988
128,2.15974,0.884645,1.91982,0.853367,1.97497,0.861234
