n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
76,1.82725e-05,1.82723e-05,1.68159e-05,1.68158e-05,1.41054e-05,1.41053e-05
77,2.21509e-05,2.21506e-05,1.90293e-05,1.90291e-05,1.78877e-05,1.78875e-05
78,2.18623e-05,2.18621e-05,1.85564e-05,1.85562e-05,1.78016e-05,1.78014e-05
79,2.47504e-05,2.47501e-05,2.04351e-05,2.04349e-05,1.86607e-05,1.86605e-05
80,1.74881e-05,1.74879e-05,1.67864e-05,1.67863e-05,1.54833e-05,1.54832e-05
81,2.70853e-05,2.70849e-05,1.96463e-05,1.96461e-05,2.0317e-05,2.03168e-05
82,2.3633e-05,2.36328e-05,1.95192e-05,1.9519e-05,1.84697e-05,1.84695e-05
83,2.49934e-05,2.4993e-05,2.17568e-05,2.17565e-05,1.99373e-05,1.99371e-05
84,2.29597e-05,2.29594e-05,1.94452e-05,1.9445e-05,1.66835e-05,1.66834e-05
85,2.60873e-05,2.6087e-05,2.18651e-05,2.18649e-05,2.0973e-05,2.09728e-05
86,2.38941e-05,2.38939e-05,2.17931e-05,2.17929e-05,1.98314e-05,1.98312e-05
87,2.70177e-05,2.70174e-05,2.21161e-05,2.21158e-05,2.01361e-05,2.01359e-05
88,2.06596e-05,2.06594e-05,1.83541e-05,1.83539e-05,1.72494e-05,1.72492e-05
89,2.69428e-05,2.69424e-05,2.31777e-05,2.31774e-05,2.12341e-05,2.12339e-05
90,2.58041e-05,2.58038e-05,2.29554e-05,2.29551e-05,2.06509e-05,2.06507e-05
91,2.86371e-05,2.86367e-05,2.44863e-05,2.4486e-05,2.17666e-05,2.17664e-05
92,2.49434e-05,2.49431e-05,2.09207e-05,2.09204e-05,1.83124e-05,1.83122e-05
93,2.99214e-05,2.9921e-05,2.32723e-05,2.3272e-05,2.19994e-05,2.19992e-05
94,2.60171e-05,2.60168e-05,2.30621e-05,2.30618e-05,2.16607e-05,2.16605e-05
95,2.83328e-05,2.83324e-05,2.56986e-05,2.56983e-05,2.22211e-05,2.22209e-05
96,2.11898e-05,2.11896e-05,2.02416e-05,2.02414e-05,1.86266e-05,1.86265e-05
97,3.20952e-05,3.20947e-05,2.53057e-05,2.53054e-05,2.2053e-05,2.20527e-05
98,3.05936e-05,3.05931e-05,2.45281e-05,2.45278e-05,2.31667e-05,2.31665e-05
99,3.01005e-05,3.01e-05,2.74203e-05,2.74199e-05,2.38876e-05,2.38873e-05
100,2.84206e-05,2.84202e-05,2.50064e-05,2.50061e-05,2.15451e-05,2.15449e-05
101,3.27922e-05,3.27917e-05,2.76678e-05,2.76674e-05,2.59348e-05,2.59345e-05
102,2.90403e-05,2.90398e-05,2.57936e-05,2.57932e-05,2.52412e-05,2.52409e-05
103,3.48404e-05,3.48398e-05,2.7125e-05,2.71246e-05,2.52554e-05,2.52551e-05
104,2.74348e-05,2.74344e-05,2.53758e-05,2.53755e-05,2.23565e-05,2.23563e-05
105,3.51664e-05,3.51658e-05,2.89865e-05,2.89861e-05,2.67893e-05,2.67889e-05
106,3.15608e-05,3.15603e-05,2.8264e-05,2.82636e-05,2.55915e-05,2.55911e-05
107,3.62422e-05,3.62415e-05,2.92906e-05,2.92902e-05,2.75233e-05,2.75229e-05
108,3.12063e-05,3.12058e-05,2.67776e-05,2.67772e-05,2.39638e-05,2.39635e-05
109,3.48711e-05,3.48705e-05,3.01396e-05,3.01392e-05,2.86643e-05,2.86639e-05
110,3.08635e-05,3.08631e-05,2.95756e-05,2.95751e-05,2.62586e-05,2.62582e-05
111,3.3496e-05,3.34955e-05,3.15094e-05,3.15089e-05,2.90445e-05,2.9044e-05
112,2.60352e-05,2.60349e-05,2.49447e-05,2.49444e-05,2.30903e-05,2.309e-05
113,3.70368e-05,3.70361e-05,3.0908e-05,3.09075e-05,2.91689e-05,2.91685e-05
114,3.42953e-05,3.42947e-05,2.93365e-05,2.9336e-05,2.7475e-05,2.74746e-05
115,3.87281e-05,3.87274e-05,3.28833e-05,3.28827e-05,3.03009e-05,3.03004e-05
