n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
13,0.0833964,0.0800136,0.0691377,0.0668018,0.0793764,0.0763078
14,0.067269,0.0650563,0.07542,0.0726461,0.0774855,0.0745596
15,0.0918744,0.0877803,0.0878322,0.0840855,0.0837567,0.0803451
16,0.0798559,0.0767506,0.0921157,0.0880004,0.0675961,0.0653621
17,0.122784,0.115546,0.108526,0.102844,0.0963103,0.0918179
18,0.127023,0.119287,0.108678,0.102981,0.100549,0.0956596
19,0.182234,0.166594,0.117004,0.110418,0.119092,0.112273
20,0.127417,0.119634,0.100876,0.0959553,0.127406,0.119624
21,0.20084,0.181957,0.137697,0.128638,0.172389,0.158348
22,0.156239,0.144646,0.133785,0.125222,0.156239,0.144646
23,0.186886,0.170462,0.152328,0.141293,0.178824,0.163747
24,0.146461,0.136241,0.14032,0.13092,0.132114,0.123759
25,0.215708,0.19403,0.199517,0.180874,0.185259,0.169111
26,0.167066,0.153856,0.195605,0.177663,0.165022,0.152125
27,0.214014,0.192663,0.207973,0.187771,0.193737,0.176125
28,0.179608,0.164403,0.181674,0.166127,0.159286,0.147248
29,0.263225,0.231431,0.204169,0.184676,0.232776,0.207669
30,0.253228,0.223709,0.200324,0.181534,0.202367,0.183205
31,0.306395,0.263904,0.235124,0.209527,0.22906,0.20472
32,0.249579,0.220871,0.217042,0.195104,0.198741,0.180238
33,0.349387,0.29488,0.268055,0.235134,0.247755,0.219449
34,0.29668,0.256718,0.258013,0.227415,0.245775,0.217902
35,0.319198,0.273268,0.276533,0.241591,0.276511,0.241575
36,0.274664,0.240173,0.219673,0.197219,0.244126,0.216611
37,0.339892,0.288152,0.291097,0.252556,0.295139,0.255572
38,0.281099,0.245046,0.28925,0.251175,0.262776,0.231086
39,0.33209,0.282577,0.305738,0.26342,0.295488,0.255832
40,0.285535,0.248388,0.28358,0.246917,0.261193,0.229868
41,0.421967,0.344244,0.344732,0.29159,0.363089,0.304475
42,0.383519,0.318541,0.346939,0.293152,0.324552,0.277149
43,0.46306,0.370645,0.36949,0.308913,0.345048,0.291814
44,0.377827,0.314651,0.330986,0.281785,0.300492,0.259546
45,0.487818,0.386035,0.373793,0.311881,0.371872,0.310557
46,0.41882,0.342177,0.370003,0.309268,0.353768,0.297962
47,0.447346,0.360677,0.410888,0.336939,0.372176,0.310767
48,0.368409,0.308166,0.344022,0.291087,0.307354,0.26461
49,0.531237,0.412123,0.417323,0.341192,0.429561,0.349205
50,0.391001,0.323621,0.409347,0.335916,0.413467,0.338646
51,0.519282,0.405053,0.466556,0.372842,0.434041,0.352114
52,0.466664,0.372909,0.375115,0.31279,0.377225,0.314238
53,0.552236,0.424339,0.470903,0.375562,0.491336,0.388192
54,0.493421,0.389466,0.460928,0.369302,0.430412,0.349759
55,0.615661,0.459716,0.47947,0.380889,0.467188,0.373238
56,0.489839,0.387275,0.422699,0.344724,0.38603,0.32025
57,0.652645,0.479333,0.500097,0.393528,0.51842,0.404539
58,0.530699,0.411806,0.506446,0.397366,0.465669,0.372285
59,0.624444,0.464441,0.559513,0.428513,0.463878,0.37116
60,0.553591,0.425118,0.480299,0.381402,0.449871,0.36229
61,0.598363,0.450289,0.541351,0.418038,0.506992,0.397695
62,0.578194,0.439089,0.515207,0.402623,0.505123,0.396569
63,0.667896,0.487214,0.580512,0.440388,0.497169,0.39175
64,0.503407,0.395532,0.491281,0.388158,0.434312,0.35229
65,0.775985,0.53975,0.588956,0.445094,0.546358,0.420945
66,0.680613,0.493694,0.59937,0.450842,0.526077,0.409082
67,0.784541,0.543671,0.646385,0.476064,0.558878,0.42815
68,0.689225,0.498035,0.522384,0.406895,0.520386,0.405709
69,0.788966,0.545686,0.626212,0.465387,0.622326,0.463305
70,0.744366,0.524964,0.638713,0.472029,0.600024,0.451202
71,0.848205,0.571817,0.677622,0.492177,0.659277,0.482775
72,0.645215,0.47545,0.574077,0.436775,0.565948,0.432178
73,0.87304,0.58232,0.685978,0.496403,0.726789,0.516541
74,0.80814,0.554314,0.696402,0.501625,0.665797,0.486136
75,0.861196,0.577344,0.739309,0.522556,0.702618,0.504713
76,0.708878,0.507804,0.649911,0.477908,0.540128,0.417326
77,0.865588,0.579196,0.739436,0.522617,0.692818,0.499835
78,0.853547,0.574098,0.719444,0.512977,0.688928,0.497886
79,0.969746,0.620821,0.794921,0.548383,0.723572,0.514983
80,0.675152,0.490921,0.646701,0.476229,0.593864,0.44781
81,1.06359,0.654785,0.762589,0.533543,0.789218,0.5458
82,0.923452,0.602854,0.756767,0.530819,0.714124,0.510379
83,0.978418,0.624095,0.846558,0.571111,0.773232,0.538481
84,0.89535,0.591535,0.753029,0.529062,0.641203,0.473342
85,1.02159,0.639977,0.85075,0.572905,0.814281,0.557042
86,0.932323,0.606362,0.847015,0.571307,0.767682,0.535912
87,1.05852,0.65303,0.859472,0.576614,0.779939,0.541566
88,0.800524,0.550906,0.707043,0.5069,0.662312,0.484342
89,1.05477,0.651727,0.902287,0.594359,0.823153,0.560955
90,1.0082,0.635126,0.892456,0.590351,0.798986,0.550215
91,1.12231,0.674474,0.953741,0.614703,0.843857,0.569952
92,0.972116,0.621718,0.809396,0.554873,0.703699,0.505248
93,1.1735,0.690718,0.904884,0.595411,0.85238,0.573601
94,1.01506,0.637621,0.895186,0.591469,0.838307,0.567558
95,1.10868,0.670004,1.00121,0.632567,0.86078,0.577168
96,0.818357,0.558844,0.779789,0.541497,0.714637,0.51063
97,1.25969,0.716257,0.985083,0.626592,0.853045,0.573885
98,1.19876,0.698432,0.952853,0.614361,0.897895,0.592574
99,1.17855,0.692274,1.0691,0.656681,0.926576,0.604093
100,1.10974,0.670354,0.971481,0.621478,0.831226,0.564485
101,1.28668,0.723814,1.07926,0.660154,1.00837,0.635186
102,1.13436,0.678373,1.00239,0.632999,0.980026,0.624699
103,1.36848,0.745508,1.05556,0.652002,0.980201,0.624764
104,1.06787,0.65626,0.984506,0.626376,0.862441,0.57787
105,1.38099,0.748671,1.13087,0.677246,1.04154,0.647089
106,1.23473,0.709086,1.10072,0.66737,0.99284,0.629477
107,1.42396,0.759242,1.14165,0.680709,1.07038,0.657123
108,1.21902,0.70448,1.03999,0.64654,0.926105,0.603906
109,1.36746,0.745246,1.17621,0.691553,1.11555,0.672265
110,1.20492,0.700284,1.15225,0.684075,1.01802,0.638692
111,1.3109,0.730423,1.22981,0.707653,1.13014,0.677011
112,1.0082,0.635126,0.963627,0.618493,0.888436,0.588701
113,1.45355,0.766261,1.20547,0.700448,1.13451,0.678419
114,1.34197,0.738668,1.14081,0.68044,1.06554,0.655459
115,1.52106,0.78152,1.28351,0.722936,1.17958,0.692591
116,1.26515,0.717802,1.15737,0.685689,1.04353,0.647789
117,1.44415,0.764055,1.30378,0.728496,1.17991,0.692695
118,1.34876,0.740438,1.18424,0.694022,1.10487,0.668748
119,1.58877,0.795823,1.28016,0.722008,1.28392,0.723049
120,1.087,0.662774,1.06057,0.653742,0.987456,0.627477
121,1.42659,0.759873,1.28213,0.722555,1.1869,0.694833
122,1.2804,0.722073,1.24193,0.711174,1.1118,0.671035
123,1.45134,0.765745,1.36628,0.744946,1.18513,0.694292
124,1.2624,0.717026,1.19747,0.698043,1.06127,0.653984
125,1.54111,0.785857,1.3193,0.732678,1.25266,0.714256
126,1.44985,0.765394,1.25882,0.716011,1.11659,0.672605
127,1.62081,0.802262,1.37708,0.747687,1.16547,0.688224
