n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
5,0.0230099,0.0227472,0.0127934,0.0127119,0.000533568,0.000533426
6,0.021119,0.0208976,0.0170324,0.0168882,0.0129458,0.0128624
7,0.0518988,0.050575,0.0355746,0.0349492,0.031488,0.0309974
8,0.0765042,0.073651,0.0398136,0.0390315,0.0377703,0.0370659
9,0.0929809,0.0887891,0.0644635,0.0624296,0.0481393,0.0469989
10,0.12978,0.121711,0.0808957,0.0777101,0.0523783,0.0510302
11,0.150321,0.139568,0.105546,0.100167,0.0933302,0.0891073
12,0.193216,0.175696,0.128074,0.120212,0.103666,0.0984735
13,0.193435,0.175876,0.16695,0.153758,0.140509,0.131084
14,0.185436,0.169258,0.193543,0.175966,0.150845,0.140019
15,0.201913,0.182834,0.230386,0.205773,0.173418,0.159214
16,0.165441,0.15248,0.26714,0.234434,0.210216,0.189591
17,0.212445,0.191396,0.243017,0.215742,0.255188,0.225229
18,0.216684,0.194816,0.226868,0.202974,0.27162,0.237857
19,0.227065,0.203131,0.251495,0.222363,0.326753,0.278738
20,0.225251,0.201684,0.210893,0.190139,0.33911,0.287596
21,0.274243,0.239853,0.264038,0.232056,0.302805,0.261257
22,0.278482,0.243068,0.251975,0.222736,0.286655,0.24923
23,0.300978,0.259906,0.274593,0.240118,0.317369,0.271938
24,0.333823,0.28382,0.246283,0.218299,0.270681,0.23714
25,0.321671,0.275064,0.293276,0.254184,0.307524,0.264735
26,0.289331,0.251236,0.309742,0.266363,0.311718,0.267812
27,0.319977,0.273834,0.322087,0.275365,0.31598,0.270926
28,0.318175,0.272525,0.344694,0.291563,0.297853,0.25759
29,0.38549,0.319883,0.350932,0.295968,0.338761,0.287347
30,0.367386,0.307458,0.404032,0.332377,0.332805,0.28309
31,0.420509,0.343288,0.430659,0.349919,0.363552,0.304797
32,0.396386,0.327253,0.469501,0.374686,0.341372,0.289206
33,0.496194,0.391156,0.42701,0.347543,0.390409,0.32322
34,0.516779,0.403562,0.421033,0.343632,0.412937,0.338296
35,0.551457,0.42389,0.435489,0.353051,0.455877,0.366108
36,0.539527,0.416976,0.390844,0.323514,0.451987,0.363638
37,0.564088,0.431122,0.466343,0.372708,0.503056,0.39532
38,0.558211,0.427768,0.45227,0.363818,0.531681,0.412384
39,0.588824,0.44502,0.468758,0.374221,0.584782,0.442773
40,0.497528,0.391968,0.454751,0.365394,0.582924,0.441737
41,0.621711,0.462975,0.540334,0.417446,0.587274,0.44416
42,0.619942,0.462024,0.534412,0.413986,0.556899,0.427017
43,0.638307,0.471814,0.605847,0.454388,0.597785,0.449971
44,0.581691,0.441047,0.583712,0.442176,0.524645,0.408234
45,0.655024,0.480571,0.626563,0.465574,0.628639,0.466683
46,0.655221,0.480673,0.655277,0.480702,0.569769,0.434344
47,0.691853,0.499353,0.724679,0.51552,0.600493,0.451459
48,0.661845,0.484101,0.6821,0.494446,0.527409,0.409868
49,0.722841,0.514629,0.694501,0.500677,0.661897,0.484128
50,0.660007,0.483152,0.686525,0.496678,0.637663,0.471474
51,0.731253,0.518694,0.751885,0.528523,0.674506,0.490592
52,0.686897,0.496865,0.672627,0.489634,0.629906,0.467358
53,0.788615,0.545526,0.75621,0.530558,0.739953,0.522864
54,0.754253,0.529638,0.713698,0.51017,0.703503,0.505151
55,0.88059,0.585462,0.781035,0.542068,0.772928,0.538341
56,0.767128,0.535655,0.699833,0.503332,0.72835,0.517295
57,0.881029,0.585643,0.785404,0.544065,0.852567,0.573681
58,0.901658,0.594104,0.779527,0.541377,0.836473,0.566764
59,0.970839,0.621235,0.832594,0.56508,0.863144,0.578166
60,0.936688,0.608076,0.806383,0.55353,0.86535,0.579096
61,0.965181,0.619086,0.843093,0.569623,0.857485,0.575772
62,0.969553,0.620747,0.873851,0.582659,0.81495,0.557339
63,1.01841,0.638832,0.951338,0.613776,0.872093,0.581924
64,0.858065,0.576018,0.898653,0.592882,0.760397,0.532519
65,1.07365,0.658242,0.935396,0.60757,0.913086,0.598716
66,1.03124,0.643435,0.921345,0.602017,0.884766,0.587189
67,1.08205,0.661101,0.960265,0.617209,0.897134,0.592263
68,0.991034,0.628807,0.848491,0.57194,0.842417,0.569332
69,1.07846,0.659881,0.98087,0.625015,0.948388,0.612635
70,1.07063,0.657207,0.940389,0.609524,0.918002,0.600684
71,1.16616,0.688439,0.991491,0.628977,1.00975,0.635689
72,1.06092,0.653861,0.900161,0.593496,0.940827,0.609695
73,1.13405,0.678272,1.06901,0.656651,1.07735,0.659503
74,1.06933,0.656761,1.0469,0.648974,1.05716,0.652558
75,1.15883,0.686147,1.12243,0.674511,1.11832,0.673171
76,1.09204,0.664469,1.09828,0.666557,1.02093,0.639739
77,1.21613,0.703624,1.17157,0.690121,1.12489,0.675311
78,1.2205,0.704917,1.16782,0.688954,1.12912,0.676681
79,1.27147,0.71958,1.25953,0.716212,1.22076,0.704994
80,1.09914,0.666841,1.16817,0.689063,1.1072,0.669517
